sku,name,brand,category,price,url,in_stock,quantity_on_hand,inventory_value,description,upc
LD-R6AO5B,"Label, Paper, 4x3in (101.6x76.2mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 0.75in (19.1mm) core, 200/roll, 36/box, Plain. Black mark sensing . | LD-R6AO5B",Zebra Technologies,1444,283.9,https://www.arrowheadphx.com/ld-r6ao5b-zebra-z-perform-1000d-4x3-paper-label-36-case/,True,862,244721.8,"Label, Paper, 4x3in (101.6x76.2mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 0.75in (19.1mm) core, 200/roll, 36/box, Plain. Black mark sensing .",
10026768,"Label, Synthetic, 2.3594x0.9844in (60x25mm); TT, RFID Polyester with Foam, Coated, High Performance Acrylic Adhesive, 3in (76.2mm) core, RFID, 400/roll, 1/box, Plain, FCC | 10026768",Zebra Technologies,2352,305.88,https://www.arrowheadphx.com/label-synthetic-2-3594x0-9844in-60x25mm-tt-rfid-polyester-with-foam-coated-high-performance-acrylic-adhesive-3in-76-2mm-core-rfid-400-roll-1-box-plain-fcc-10026768/,True,578,176798.63999999998,"Label, Synthetic, 2.3594x0.9844in (60x25mm); TT, RFID Polyester with Foam, Coated, High Performance Acrylic Adhesive, 3in (76.2mm) core, RFID, 400/roll, 1/box, Plain, FCC",
10006995K,"Wristband, Polypropylene, 1x11in (25.4x279.4mm); Direct thermal, Z-Band Direct, Adhesive closure, Cartridge, 200/roll, 6/box, | 10006995K",Zebra Technologies,2278,295.16,https://www.arrowheadphx.com/10006995k-zebra-hc100-z-band-direct-wristband-cartridge-white-1x11-synthetic-label-6-case/,True,480,141676.80000000002,"Wristband, Polypropylene, 1x11in (25.4x279.4mm); Direct thermal, Z-Band Direct, Adhesive closure, Cartridge, 200/roll, 6/box,",
800300-550,"Ribbon, Color-YMCKO, 300 Images, ZC300 | 800300-550",Zebra Technologies,1440,50.0,https://www.arrowheadphx.com/ribbon-color-ymcko-300-images-zc300-800300-550/,True,1489,74450.0,"Ribbon, Color-YMCKO, 300 Images, ZC300",
10006997K,"Wristband, Polypropylene, 0.75x11in (19.1x279.4mm); Direct Thermal, Z-Band Direct, Adhesive closure, HC100 Cartridge, 200/roll, 6/box | 10006997K",Zebra Technologies,2278,295.16,https://www.arrowheadphx.com/10006997k-zebra-hc100-z-band-direct-wristband-cartridge-white-0-75x11-synthetic-label-6-case/,True,225,66411.0,"Wristband, Polypropylene, 0.75x11in (19.1x279.4mm); Direct Thermal, Z-Band Direct, Adhesive closure, HC100 Cartridge, 200/roll, 6/box",
10000290,"Label, Paper, 4x6in (101.6x152.4mm); DT, Z-Perform 2000D, Value Coated, All-Temp Adhesive, 3in (76.2mm) core, 1000/roll, 4/box | 10000290",Zebra Technologies,1465,100.17,https://www.arrowheadphx.com/10000290-zebra-z-perform-2000d-4x6-paper-label-4-case-10000290/,True,567,56796.39,"Label, Paper, 4x6in (101.6x152.4mm); DT, Z-Perform 2000D, Value Coated, All-Temp Adhesive, 3in (76.2mm) core, 1000/roll, 4/box",
05319BK11045,"Wax Ribbon, 110mmx450m (4.33inx1476ft), 5319; Performance, 25mm (1in) core, 6/box| 05319BK11045 | 05319BK11045",Zebra Technologies,1446,141.59,https://www.arrowheadphx.com/5319-wax-ribbon-4-33-inch-width-110-mm-1-476-feet-450-meters-05319bk11045/,True,328,46441.520000000004,"Wax Ribbon, 110mmx450m (4.33inx1476ft), 5319; Performance, 25mm (1in) core, 6/box",
10006996K,"Wristband, Polypropylene, 1.1875x11in (30.2x279.4mm); DT, Z-Band Direct, Coated, Permanent Adhesive, Cartridge, 200/roll, 6/box, Plain | 10006996K",Zebra Technologies,2278,286.56,https://www.arrowheadphx.com/10006996k-zebra-hc100-z-band-direct-wristband-cartridge-white-1-1875x11-synthetic-label-6-case/,True,160,45849.6,"Wristband, Polypropylene, 1.1875x11in (30.2x279.4mm); DT, Z-Band Direct, Coated, Permanent Adhesive, Cartridge, 200/roll, 6/box, Plain",
10026037,"Label, Paper, 4x6in (101.6x152.4mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 3in (76.2mm) core, 2500/roll, 2/box, Plain | 10026037",Zebra Technologies,1444,91.44,https://www.arrowheadphx.com/10026037-label-paper-4-x-6in-direct-thermal-z-perform-1000d-3-in-core-12in-od-2-rolls-carton/,True,441,40325.04,"Label, Paper, 4x6in (101.6x152.4mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 3in (76.2mm) core, 2500/roll, 2/box, Plain",
P1058930-012,"Kit, Printhead 203 dpi, ZT420, ZT421 | P1058930-012",Zebra Technologies,1531;1729,668.4,https://www.arrowheadphx.com/kit-printhead-203-dpi-zt420-zt421-p1058930-012/,True,60,40104.0,"Kit, Printhead 203 dpi, ZT420, ZT421",
10000301,"Label, Paper, 4x6in (101.6x152.4mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 3in (76.2mm) core, 1000/roll, 4/box | 10000301",Zebra Technologies,1444,70.23,https://www.arrowheadphx.com/10000301-zebra-z-perform-1000d-4x6-paper-label-4-case/,True,551,38696.73,"Label, Paper, 4x6in (101.6x152.4mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 3in (76.2mm) core, 1000/roll, 4/box",
05095BK11045,"Resin Ribbon, 110mmx450m (4.33inx1476ft), 5095; High Performance, 25mm (1in) core, 6/box | 05095BK11045",Zebra Technologies,1477,339.98,https://www.arrowheadphx.com/5095-performance-resin-zebra-5095-performance-resin-ribbon-case-4-33-inches-x-1476-feet-6-roll-pack/,True,110,37397.8,"Resin Ribbon, 110mmx450m (4.33inx1476ft), 5095; High Performance, 25mm (1in) core, 6/box",
03200BK11045,"Wax/Resin Ribbon, 110mmx450m (4.33inx1476ft), 3200; High Performance, 25mm (1in) core, 6/box | 03200BK11045",Zebra Technologies,2229,195.39,https://www.arrowheadphx.com/3200-wax-resin-ribbon-4-33-inch-width-110-mm-1-476-feet-450-meters-single-roll/,True,183,35756.369999999995,"Wax/Resin Ribbon, 110mmx450m (4.33inx1476ft), 3200; High Performance, 25mm (1in) core, 6/box",
LD-R4AW5B,"Label, Paper, 4x6in (101.6x152.4mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 0.75in (19.1mm) core, 105/roll, 36/box, Plain. Black mark sensing . | LD-R4AW5B",Zebra Technologies,1444,287.71,https://www.arrowheadphx.com/ld-r4aw5b-zebra-z-perform-1000d-4x6-paper-label-36-case/,True,102,29346.42,"Label, Paper, 4x6in (101.6x152.4mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 0.75in (19.1mm) core, 105/roll, 36/box, Plain. Black mark sensing .| LD-R4AW5B",
10015772,"Label, Paper, 2x1.25in (50.8x31.8mm); DT, 8000D Lab, Coated, Permanent Adhesive, 0.75in (19.1mm) core, 330/roll, 12/box, Plain | 10015772",Zebra Technologies,1918,99.89,https://www.arrowheadphx.com/health-care-media-for-mobile-specimen-collection-use-meditech-8000d-lab-2-x-1-25-10015772/,True,291,29067.99,"Label, Paper, 2x1.25in (50.8x31.8mm); DT, 8000D Lab, Coated, Permanent Adhesive, 0.75in (19.1mm) core, 330/roll, 12/box, Plain",
10000281,"Label, Paper, 4x6in (101.6x152.4mm); TT, Z-Perform 2000T, Value Coated, Permanent Adhesive, 3in (76.2mm) core, 1000/roll, 4/box, Plain | 10000281",Zebra Technologies,1459,63.49,https://www.arrowheadphx.com/10000281-zebra-z-perform-2000t-4x6-paper-label-4-case/,True,448,28443.52,"Label, Paper, 4x6in (101.6x152.4mm); TT, Z-Perform 2000T, Value Coated, Permanent Adhesive, 3in (76.2mm) core, 1000/roll, 4/box, Plain",
10010030,"Label, Paper, 3x3in (76.2x76.2mm); DT, Z-Perform 2000D, Value Coated, All-Temp Adhesive, 1in (25.4mm) core, 840/roll, 6/box, Plain | 10010030",Zebra Technologies,1465,108.65,https://www.arrowheadphx.com/10010030-zebra-z-perform-2000d-3x3-paper-label-6-case/,True,259,28140.350000000002,"Label, Paper, 3x3in (76.2x76.2mm); DT, Z-Perform 2000D, Value Coated, All-Temp Adhesive, 1in (25.4mm) core, 840/roll, 6/box, Plain",
10026373,"Label, Paper, 4x3in (101.6x76.2mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 0.75in (19.1mm) core, 155/roll, 36/box, Plain | 10026373",Zebra Technologies,1444,189.99,https://www.arrowheadphx.com/10026373-label-paper-4-x-3in-direct-thermal-z-perform-1000d-0-75-in-core-36-rolls-carton/,True,141,26788.59,"Label, Paper, 4x3in (101.6x76.2mm); DT, Z-Perform 1000D, Value Uncoated, Permanent Adhesive, 0.75in (19.1mm) core, 155/roll, 36/box, Plain",
P1123335-056,"Kit,Printhead,Enhanced,203 dpi,ZT111,ZT211,ZT231,ZT231R| P1123335-056 | P1123335-056",Zebra Technologies,1521,592.71,https://www.arrowheadphx.com/kit-printhead-enhanced-203-dpi-zt111-zt211-zt231-zt231r-p1123335-056-p1123335-056/,True,45,26671.95,"Kit,Printhead,Enhanced,203 dpi,ZT111,ZT211,ZT231,ZT231R| P1123335-056",
03200BK08045,"Wax/Resin Ribbon, 80mmx450m (3.15inx1476ft), 3200; High Performance, 25mm (1in) core, 6/box | 03200BK08045",Zebra Technologies,2229,142.54,https://www.arrowheadphx.com/3200-wax-resin-ribbon-3-15-inch-width-80-mm-1-476-feet-450-meters-case-6/,True,185,26369.899999999998,"Wax/Resin Ribbon, 80mmx450m (3.15inx1476ft), 3200; High Performance, 25mm (1in) core, 6/box",
10038996,"Label, Paper, 4x6in (101.6x152.4mm); TT, Z-Perform 1500T, Coated, Permanent Adhesive, 3in (76.2mm) core, RFID, Plain | 10038996",Zebra Technologies,2343,103.27,https://www.arrowheadphx.com/label-paper-4x6in-101-6x152-4mm-tt-z-perform-1500t-coated-permanent-adhesive-3in-76-2mm-core-rfid-plain-10038996/,True,250,25817.5,"Label, Paper, 4x6in (101.6x152.4mm); TT, Z-Perform 1500T, Coated, Permanent Adhesive, 3in (76.2mm) core, RFID, Plain",
10015355K,"Wristband, Synthetic, 1x11in (25.4x279.4mm); DT, Z-Band Ultra Soft, Coated, Permanent Adhesive, Cartridge | 10015355K",Zebra Technologies,1914,291.96,https://www.arrowheadphx.com/z-band-ultrasoft-wristband-cartridge-kit-white-10015355k-10015355k/,True,88,25692.48,"Wristband, Synthetic, 1x11in (25.4x279.4mm); DT, Z-Band Ultra Soft, Coated, Permanent Adhesive, Cartridge",
05095BK08345,"Resin Ribbon, 83mmx450m (3.27inx1476ft), 5095; High Performance, 25mm (1in) core, 6/box | 05095BK08345",Zebra Technologies,1477,256.68,https://www.arrowheadphx.com/5095-performance-resin-ribbon-3-27-inch-width-83-mm-1-476-feet-450-meters-with-a-1-inch-inner-diameter-core-6-rolls-case/,True,100,25668.0,"Resin Ribbon, 83mmx450m (3.27inx1476ft), 5095; High Performance, 25mm (1in) core, 6/box",
10018856,"Wristband, Synthetic, 1x11in (25.4x279.4mm); DT, Z-Band Ultra Soft Lam, Coated, Permanent Adhesive, 1in (25.4mm) core, 175/roll, 6/box, Printed. Black mark sensing. | 10018856",Zebra Technologies,1914,291.93,https://www.arrowheadphx.com/10018856-z-band-ultrasoft-white-1x11in/,True,86,25105.98,"Wristband, Synthetic, 1x11in (25.4x279.4mm); DT, Z-Band Ultra Soft Lam, Coated, Permanent Adhesive, 1in (25.4mm) core, 175/roll, 6/box, Printed. Black mark sensing.",
