sku,name,brand,category,price,url,in_stock,description,manufacturer_part_number,upc,weight,custom_fields,image_url
112-801-00000,Zebra 110Xi4 Bar Code Printer | This printer has been replaced by ZT61042-T010100Z | 112-801-00000,,152,2557.01,https://arrowheadphx.com/zebra-110xi4-bar-code-printer-this-printer-has-been-replaced-by-zt61042-t010100z-112-801-00000/,False,"<p>This printer has been replaced by ZT61042-T010100Z.</p>
<p>&nbsp;</p>
<p>Description: Standard ZT610 with 203 DPI (8 dots/mm)</p>
<p>110Xi4 Bar Code Printer (203 dpi, Serial, Parallel, USB and Internal ZebraNet 10/100 PrintServer Interfaces, 120VAC Cord-NA, 16MB SDRAM, ZPL II, XML, Clear Media Side Door and Media Hanger) 112-801-00000</p>
<p>The workhorse of the Xi product line, the 110Xi4 was built on the legacy of the Xi series of products. The 110Xi4 was developed to improve overall operat",112-801-00000,,59,"[{""Model"": ""110Xi4""}, {""Product Type"": ""Printer""}, {""Printer Type"": ""Industrial""}, {""Communication"": ""Serial""}, {""Communication"": ""Parallel""}, {""Communication"": ""Ethernet""}, {""Print Technology"": ""Thermal Transfer""}, {""MAP"": ""<img src=/product_images/map2.png alt=MAP POLICY>""}]",https://cdn11.bigcommerce.com/s-d90c8/products/289/images/627/110xi4__70684.1338522718.500.750.jpg?c=2
112-801-00200,Zebra 110Xi4 Bar Code Printer | This printer has been replaced by ZT61042-T210100Z | 112-801-00200,,152,2810.48,https://arrowheadphx.com/zebra-110xi4-bar-code-printer-this-printer-has-been-replaced-by-zt61042-t210100z-112-801-00200/,False,"<p>This printer has been replaced by ZT61042-T210100Z.&nbsp; Description:&nbsp;&nbsp;Standard ZT610 with 203 DPI (8 dots/mm), Rewind with Peel</p> <p>110Xi4 Bar Code Printer (203 dpi, Serial, Parallel, USB and Internal ZebraNet 10/100 PrintServer Interfaces, 120VAC Cord-NA, Rewind with Peel, 16MB SDRAM, ZPL II, XML, Clear Media Side Door and Media Hanger) 112-801-00200</p> <p>The workhorse of the Xi product line, the 110Xi4 was built on the legacy of the Xi series of products. The 110Xi4 was dev",112-801-00200,,62.65,"[{""Model"": ""110Xi4""}, {""Product Type"": ""Printer""}, {""Printer Type"": ""Industrial""}, {""Options"": ""Rewind""}, {""Options"": ""Peel""}, {""Communication"": ""Serial""}, {""Communication"": ""Parallel""}, {""Communication"": ""Ethernet""}, {""Print Technology"": ""Thermal Transfer""}, {""MAP"": ""<img src=/product_images/map2.png alt=MAP POLICY>""}]",https://cdn11.bigcommerce.com/s-d90c8/products/291/images/629/110xi4__14991.1338522718.500.750.jpg?c=2
112-801-00100,Zebra 110Xi4 Bar Code Printer |  This printer has been replaced by ZT61042-T110100Z | 112-801-00100,,152,3151.42,https://arrowheadphx.com/zebra-110xi4-bar-code-printer-this-printer-has-been-replaced-by-zt61042-t110100z-112-801-00100/,False,"<p>This printer has been replaced by ZT61042-T110100Z.&nbsp; Description:&nbsp;Standard ZT610 with 203 DPI (8 dots/mm), Cutter</p> <p>110Xi4 Bar Code Printer (203 dpi, Serial, Parallel, USB and Internal ZebraNet 10/100 PrintServer Interfaces, 120VAC Cord-NA, Cutter with Catch Tray, 16MB SDRAM, ZPL II, XML, Clear Media Side Door and Media Hanger) 112-801-00100</p> <p>The workhorse of the Xi product line, the 110Xi4 was built on the legacy of the Xi series of products. The 110Xi4 was developed to ",112-801-00100,,64.05,"[{""Model"": ""110Xi4""}, {""Product Type"": ""Printer""}, {""Printer Type"": ""Industrial""}, {""Options"": ""Rewind""}, {""Options"": ""Peel""}, {""Communication"": ""Serial""}, {""Communication"": ""Parallel""}, {""Communication"": ""Ethernet""}, {""Print Technology"": ""Thermal Transfer""}, {""MAP"": ""<img src=/product_images/map2.png alt=MAP POLICY>""}]",https://cdn11.bigcommerce.com/s-d90c8/products/292/images/630/110xi4__04513.1338522718.500.750.jpg?c=2
113-801-00000,Zebra 110Xi4 Barcode Printer | This printer has been replaced by ZT61043-T010100Z |,,152,2731.05,https://arrowheadphx.com/zebra-110xi4-barcode-printer-this-printer-has-been-replaced-by-zt61043-t010100z/,False,"<p>This printer has been replaced by ZT61043-T010100Z.&nbsp; Description:&nbsp;&nbsp;Standard ZT610 with 300 DPI (12 dots/mm)</p> <p>110Xi4 Bar Code Printer (300 dpi, Serial, Parallel, USB and Internal ZebraNet 10/100 PrintServer Interfaces, 120VAC Cord-NA, 16MB SDRAM, ZPL II, XML, Clear Media Side Door and Media Hanger) 113-801-00000</p> <p>The workhorse of the Xi product line, the 110Xi4 was built on the legacy of the Xi series of products. The 110Xi4 was developed to improve overall operation",113-801-00000,,59,"[{""Model"": ""110Xi4""}, {""Product Type"": ""Printer""}, {""Printer Type"": ""Industrial""}, {""Communication"": ""Serial""}, {""Communication"": ""Parallel""}, {""Communication"": ""Ethernet""}, {""Print Technology"": ""Thermal Transfer""}, {""MAP"": ""<img src=/product_images/map2.png alt=MAP POLICY>""}]",https://cdn11.bigcommerce.com/s-d90c8/products/293/images/3188/110__82884.1378854439.500.750.jpg?c=2
113-801-00100,Zebra 110Xi4 Bar Code Printer | This printer has been replaced by ZT61043-T110100Z,,152,3322.78,https://arrowheadphx.com/zebra-110xi4-bar-code-printer-this-printer-has-been-replaced-by-zt61043-t110100z/,False,"<p>This printer has been replaced by ZT61043-T110100Z.&nbsp;&nbsp;Description: Standard ZT610 with 300 DPI (12 dots/mm), Cutter</p> <p>110Xi4 Bar Code Printer (300 dpi, Serial, Parallel, USB and Internal ZebraNet 10/100 PrintServer Interfaces, 120VAC Cord-NA, Cutter with Catch Tray, 16MB SDRAM, ZPL II, XML, Clear Media Side Door and Media Hanger) 113-801-00100</p> <p>The workhorse of the Xi product line, the 110Xi4 was built on the legacy of the Xi series of products. The 110Xi4 was developed to",113-801-00100,,32.9,"[{""Model"": ""110Xi4""}, {""Product Type"": ""Printer""}, {""Printer Type"": ""Industrial""}, {""Options"": ""Cutter""}, {""Communication"": ""Serial""}, {""Communication"": ""Parallel""}, {""Communication"": ""Ethernet""}, {""Print Technology"": ""Thermal Transfer""}, {""MAP"": ""<img src=/product_images/map2.png alt=MAP POLICY>""}]",https://cdn11.bigcommerce.com/s-d90c8/products/294/images/632/110xi4__58750.1338522718.500.750.jpg?c=2
113-801-00200,Zebra 110Xi4 Bar Code Printer  | This printer has been replaced by ZT61043-T210100Z,,152,2980.95,https://arrowheadphx.com/zebra-110xi4-bar-code-printer-this-printer-has-been-replaced-by-zt61043-t210100z/,False,"<p>This printer has been replaced by ZT61043-T210100Z.&nbsp; Description:&nbsp;&nbsp;Standard ZT610 with 300 DPI (12 dots/mm), Rewind with Peel</p> <p>110Xi4 Bar Code Printer (300 dpi, Serial, Parallel, USB and Internal ZebraNet 10/100 PrintServer Interfaces, 120VAC Cord-NA, Rewind with Peel, 16MB SDRAM, ZPL II, XML, Clear Media Side Door and Media Hanger) 113-801-00200</p> <p>The workhorse of the Xi product line, the 110Xi4 was built on the legacy of the Xi series of products. The 110Xi4 was de",113-801-00200,,62.8,"[{""Model"": ""110Xi4""}, {""Product Type"": ""Printer""}, {""Printer Type"": ""Industrial""}, {""Options"": ""Rewind""}, {""Options"": ""Peel""}, {""Communication"": ""Serial""}, {""Communication"": ""Parallel""}, {""Communication"": ""Ethernet""}, {""Print Technology"": ""Thermal Transfer""}, {""MAP"": ""<img src=/product_images/map2.png alt=MAP POLICY>""}]",https://cdn11.bigcommerce.com/s-d90c8/products/297/images/635/110xi4__46232.1338522718.500.750.jpg?c=2
116-801-00001,Zebra 110Xi4 Bar Code Printer  | This printer has been replaced by ZT61046-T010100Z,,152,4266.15,https://arrowheadphx.com/zebra-110xi4-bar-code-printer-this-printer-has-been-replaced-by-zt61046-t010100z/,False,"<p>This printer has been replaced by ZT61046-T010100Z.&nbsp; Description:&nbsp;&nbsp;Standard ZT610 with 600 DPI (24 dots/mm)</p> <p>110Xi4 Bar Code Printer (600 dpi, Serial, Parallel, USB and Internal ZebraNet 10/100 PrintServer Interfaces, 120VAC Cord-NA, 16MB SDRAM, ZPL II, XML, Clear Media Side Door and 3-Inch Media Supply Spindle) 116-801-00001</p> <p>The workhorse of the Xi product line, the 110Xi4 was built on the legacy of the Xi series of products. The 110Xi4 was developed to improve ov",116-801-00001,,58.85,"[{""Model"": ""110Xi4""}, {""Product Type"": ""Printer""}, {""Printer Type"": ""Industrial""}, {""Communication"": ""Serial""}, {""Communication"": ""Parallel""}, {""Communication"": ""Ethernet""}, {""Print Technology"": ""Thermal Transfer""}, {""MAP"": ""<img src=/product_images/map2.png alt=MAP POLICY>""}]",https://cdn11.bigcommerce.com/s-d90c8/products/300/images/638/110xi4__72530.1338522719.500.750.jpg?c=2
116-801-00101,Zebra 110Xi4 Bar Code Printer  116-801-00101 | 116-801-00101,,152,4859.66,https://arrowheadphx.com/110xi4-bar-code-printer-116-801-00101/,False,"<p>110Xi4 Bar Code Printer (600 dpi, Serial, Parallel, USB and Internal ZebraNet 10/100 PrintServer, 120VAC Cord-NA, Cutter with Catch Tray, 16MB SDRAM, ZPL II, XML, Clear Media Side Door and 3-Inch Media Supply Spindle) 116-801-00101</p> <p>The workhorse of the Xi product line, the 110Xi4 was built on the legacy of the Xi series of products. The 110Xi4 was developed to improve overall operational productivity and efficiency in a variety of environments. The 110Xi4 printer is ideal for a variety",116-801-00101,,63.45,"[{""Model"": ""110Xi4""}, {""Product Type"": ""Printer""}, {""Printer Type"": ""Industrial""}, {""Options"": ""Cutter""}, {""Communication"": ""Serial""}, {""Communication"": ""Parallel""}, {""Communication"": ""Ethernet""}, {""Print Technology"": ""Thermal Transfer""}, {""MAP"": ""<img src=/product_images/map2.png alt=MAP POLICY>""}]",https://cdn11.bigcommerce.com/s-d90c8/products/301/images/3132/116_801_00101__00724.1378230213.500.750.jpg?c=2
116-801-00201,Zebra 110Xi4 Bar Code Printer  | This printer has been replaced by ZT61046-T210100Z,,152,4518.73,https://arrowheadphx.com/zebra-110xi4-bar-code-printer-this-printer-has-been-replaced-by-zt61046-t210100z/,False,"<p>This printer has been replaced by ZT61046-T210100Z.&nbsp; Description:&nbsp;&nbsp;Standard ZT610 with 600 DPI (24 dots/mm), Rewind with Peel</p> <p>110Xi4 Bar Code Printer (600 dpi, Serial, Parallel, USB and Internal ZebraNet 10/100 PrintServer Interfaces, 120VAC Cord-NA, Rewind with Peel, 16MB SDRAM, ZPL II, XML, Clear Media Side Door and 3-Inch Media Supply Spindle) 116-801-00201</p> <p>The workhorse of the Xi product line, the 110Xi4 was built on the legacy of the Xi series of products. Th",116-801-00201,,62.65,"[{""Model"": ""110Xi4""}, {""Product Type"": ""Printer""}, {""Printer Type"": ""Industrial""}, {""Options"": ""Rewind""}, {""Options"": ""Peel""}, {""Communication"": ""Serial""}, {""Communication"": ""Parallel""}, {""Communication"": ""Ethernet""}, {""Print Technology"": ""Thermal Transfer""}, {""MAP"": ""<img src=/product_images/map2.png alt=MAP POLICY>""}]",https://cdn11.bigcommerce.com/s-d90c8/products/302/images/640/110xi4__12675.1338522719.500.750.jpg?c=2
140-801-00000,Zebra 140Xi4 Direct Thermal-Thermal Transfer Bar Code Printer  140-801-00000 | 140-801-00000,,158,4011.79,https://arrowheadphx.com/zebra-140xi4-direct-thermal-thermal-transfer-bar-code-printer-140-801-00000/,False,"<p>140Xi4 Direct Thermal-Thermal Transfer Bar Code Printer (203 dpi, Serial, Parallel, USB, Internal ZebraNet 10/100 PrintServer, 120VAC Cord-NA, 16MB SDRAM, ZPL II, XML, Clear Media Side Door and Media Hanger) 140-801-00000</p> <p>Another addition to Zebra's Xi4 product line is the 140Xi4. Built on the proven Xi series platform that is known for rugged durability and performance, the new Xi4 brings several additional features to high-volume, mission-critical applications and environments that r",140-801-00000,,61.3,"[{""Model"": ""140Xi4""}, {""Product Type"": ""Printer""}, {""Printer Type"": ""Industrial""}, {""Communication"": ""Serial""}, {""Communication"": ""Parallel""}, {""Communication"": ""Ethernet""}, {""Print Technology"": ""Thermal Transfer""}, {""MAP"": ""<img src=/product_images/map2.png alt=MAP POLICY>""}]",https://cdn11.bigcommerce.com/s-d90c8/products/303/images/641/zebra_140xi4__30653.1338523479.500.750.jpg?c=2
